,real_Date,A,B
0,2018-01-02,1,
1,2018-01-04,,0
2,2018-01-07,1,
3,2018-01-09,,1
4,2018-01-11,1,
5,2018-01-11,,1
6,2018-01-12,,1
7,2018-01-13,1,
8,2018-01-14,1,
9,2018-01-18,,0
10,2018-01-20,,1
11,2018-01-21,,1
12,2018-01-24,,-1
13,2018-02-01,,1
14,2018-02-02,1,
15,2018-02-05,-1,
16,2018-02-06,,1
17,2018-02-08,0,
18,2018-02-11,-1,
19,2018-02-12,,1
20,2018-02-18,1,
21,2018-02-20,1,
22,2018-02-20,,1
23,2018-02-28,,1
24,2018-03-01,1,
25,2018-03-02,1,
26,2018-03-02,,1
27,2018-03-03,0,
28,2018-03-05,,0
29,2018-03-07,1,
30,2018-03-07,,1
31,2018-03-08,1,
32,2018-03-10,1,
33,2018-03-10,,1
34,2018-03-11,,1
35,2018-03-12,1,
36,2018-03-14,-1,
37,2018-03-15,1,
38,2018-03-15,,1
39,2018-03-22,1,
40,2018-03-27,,1
41,2018-03-28,-1,
42,2018-03-28,,-1
43,2018-03-29,1,
44,2018-03-31,1,
45,2018-04-02,0,
46,2018-04-03,1,
47,2018-04-04,1,
48,2018-04-05,-1,
49,2018-04-06,-1,
50,2018-04-06,,1
51,2018-04-07,-1,
52,2018-04-08,-1,
53,2018-04-09,,1
54,2018-04-10,1,
55,2018-04-11,,1
56,2018-04-12,0,
57,2018-04-13,,0
58,2018-04-16,0,
59,2018-04-17,1,
60,2018-04-18,,-1
61,2018-04-19,1,
62,2018-04-20,,-1
63,2018-04-24,0,
64,2018-04-25,1,
65,2018-04-25,,-1
66,2018-04-27,1,
67,2018-05-01,1,
68,2018-05-02,1,
69,2018-05-03,,1
70,2018-05-05,,1
71,2018-05-08,1,
72,2018-05-09,1,
73,2018-05-13,1,
74,2018-05-14,,1
75,2018-05-15,1,
76,2018-05-15,,0
77,2018-05-16,-1,
78,2018-05-18,,0
79,2018-05-19,,1
80,2018-05-21,1,
81,2018-05-22,,-1
82,2018-05-23,-1,
83,2018-05-25,0,
84,2018-05-26,,0
85,2018-05-29,-1,
86,2018-05-29,,1
87,2018-05-31,,1
88,2018-06-01,1,
89,2018-06-01,,1
90,2018-06-02,1,
91,2018-06-03,,0
92,2018-06-04,-1,
